Cidade,Estado,Mês,Minima (°C),Máxima (°C),Precipitação (mm)
Rio Branco,Acre,Janeiro,21°,31°,289
Rio Branco,Acre,Fevereiro,21°,31°,285
Rio Branco,Acre,Março,21°,31°,230
Rio Branco,Acre,Abril,21°,31°,190
Rio Branco,Acre,Maio,19°,31°,93
Rio Branco,Acre,Junho,18°,30°,32
Rio Branco,Acre,Julho,17°,31°,44
Rio Branco,Acre,Agosto,17°,33°,38
Rio Branco,Acre,Setembro,19°,33°,90
Rio Branco,Acre,Outubro,21°,33°,171
Rio Branco,Acre,Novembro,21°,32°,221
Rio Branco,Acre,Dezembro,21°,31°,265
Acrelândia,Acre,Janeiro,23°,29°,298
Acrelândia,Acre,Fevereiro,23°,28°,286
Acrelândia,Acre,Março,23°,28°,290
Acrelândia,Acre,Abril,22°,29°,210
Acrelândia,Acre,Maio,21°,29°,107
Acrelândia,Acre,Junho,20°,31°,38
Acrelândia,Acre,Julho,20°,32°,24
Acrelândia,Acre,Agosto,22°,35°,42
Acrelândia,Acre,Setembro,24°,35°,97
Acrelândia,Acre,Outubro,23°,33°,169
Acrelândia,Acre,Novembro,23°,31°,233
Acrelândia,Acre,Dezembro,23°,29°,252
Assis Brasil,Acre,Janeiro,22°,29°,243
Assis Brasil,Acre,Fevereiro,22°,28°,247
Assis Brasil,Acre,Março,22°,28°,214
Assis Brasil,Acre,Abril,21°,29°,167
Assis Brasil,Acre,Maio,20°,29°,80
Assis Brasil,Acre,Junho,19°,30°,22
Assis Brasil,Acre,Julho,19°,31°,22
Assis Brasil,Acre,Agosto,21°,34°,35
Assis Brasil,Acre,Setembro,23°,34°,84
Assis Brasil,Acre,Outubro,23°,33°,145
Assis Brasil,Acre,Novembro,23°,31°,203
Assis Brasil,Acre,Dezembro,22°,29°,235
Brasiléia,Acre,Janeiro,23°,29°,251
Brasiléia,Acre,Fevereiro,22°,28°,236
Brasiléia,Acre,Março,22°,28°,215
Brasiléia,Acre,Abril,22°,29°,152
Brasiléia,Acre,Maio,20°,29°,70
Brasiléia,Acre,Junho,19°,30°,28
Brasiléia,Acre,Julho,19°,31°,21
Brasiléia,Acre,Agosto,21°,34°,41
Brasiléia,Acre,Setembro,23°,35°,89
Brasiléia,Acre,Outubro,23°,33°,135
Brasiléia,Acre,Novembro,23°,31°,206
Brasiléia,Acre,Dezembro,23°,29°,222
Bujari,Acre,Janeiro,23°,29°,280
Bujari,Acre,Fevereiro,23°,28°,263
Bujari,Acre,Março,23°,28°,259
Bujari,Acre,Abril,22°,29°,181
Bujari,Acre,Maio,21°,29°,94
Bujari,Acre,Junho,20°,30°,35
Bujari,Acre,Julho,20°,32°,26
Bujari,Acre,Agosto,22°,35°,45
Bujari,Acre,Setembro,24°,35°,82
Bujari,Acre,Outubro,23°,33°,151
Bujari,Acre,Novembro,23°,31°,201
Bujari,Acre,Dezembro,23°,29°,247
Capixaba,Acre,Janeiro,23°,29°,272
Capixaba,Acre,Fevereiro,23°,28°,254
Capixaba,Acre,Março,23°,28°,267
Capixaba,Acre,Abril,22°,29°,174
Capixaba,Acre,Maio,20°,29°,85
Capixaba,Acre,Junho,19°,30°,38
Capixaba,Acre,Julho,20°,31°,26
Capixaba,Acre,Agosto,22°,35°,48
Capixaba,Acre,Setembro,24°,35°,95
Capixaba,Acre,Outubro,23°,33°,157
Capixaba,Acre,Novembro,23°,31°,200
Capixaba,Acre,Dezembro,23°,29°,248
Cruzeiro do Sul,Acre,Janeiro,20°,31°,258
Cruzeiro do Sul,Acre,Fevereiro,20°,31°,277
Cruzeiro do Sul,Acre,Março,20°,31°,299
Cruzeiro do Sul,Acre,Abril,20°,31°,244
Cruzeiro do Sul,Acre,Maio,19°,31°,163
Cruzeiro do Sul,Acre,Junho,18°,30°,87
Cruzeiro do Sul,Acre,Julho,17°,31°,66
Cruzeiro do Sul,Acre,Agosto,18°,32°,86
Cruzeiro do Sul,Acre,Setembro,19°,32°,135
Cruzeiro do Sul,Acre,Outubro,19°,32°,215
Cruzeiro do Sul,Acre,Novembro,20°,31°,231
Cruzeiro do Sul,Acre,Dezembro,20°,31°,223
Epitaciolândia,Acre,Janeiro,23°,29°,251
Epitaciolândia,Acre,Fevereiro,22°,28°,236
Epitaciolândia,Acre,Março,22°,28°,215
Epitaciolândia,Acre,Abril,22°,29°,152
Epitaciolândia,Acre,Maio,20°,29°,70
Epitaciolândia,Acre,Junho,19°,30°,28
Epitaciolândia,Acre,Julho,19°,31°,21
Epitaciolândia,Acre,Agosto,21°,34°,41
Epitaciolândia,Acre,Setembro,23°,35°,89
Epitaciolândia,Acre,Outubro,23°,33°,135
Epitaciolândia,Acre,Novembro,23°,31°,206
Epitaciolândia,Acre,Dezembro,23°,29°,222
Feijó,Acre,Janeiro,23°,29°,273
Feijó,Acre,Fevereiro,23°,28°,243
Feijó,Acre,Março,23°,28°,296
Feijó,Acre,Abril,22°,28°,230
Feijó,Acre,Maio,21°,29°,154
Feijó,Acre,Junho,20°,30°,59
Feijó,Acre,Julho,20°,31°,51
Feijó,Acre,Agosto,22°,33°,53
Feijó,Acre,Setembro,23°,33°,94
Feijó,Acre,Outubro,23°,32°,178
Feijó,Acre,Novembro,23°,30°,231
Feijó,Acre,Dezembro,23°,29°,271
Jordão,Acre,Janeiro,22°,29°,270
Jordão,Acre,Fevereiro,22°,28°,223
Jordão,Acre,Março,22°,28°,276
Jordão,Acre,Abril,21°,28°,209
Jordão,Acre,Maio,20°,29°,111
Jordão,Acre,Junho,19°,30°,62
Jordão,Acre,Julho,19°,31°,41
Jordão,Acre,Agosto,20°,34°,54
Jordão,Acre,Setembro,22°,34°,96
Jordão,Acre,Outubro,22°,32°,171
Jordão,Acre,Novembro,22°,30°,214
Jordão,Acre,Dezembro,22°,29°,249
Mâncio Lima,Acre,Janeiro,23°,29°,246
Mâncio Lima,Acre,Fevereiro,23°,29°,233
Mâncio Lima,Acre,Março,23°,28°,276
Mâncio Lima,Acre,Abril,22°,28°,232
Mâncio Lima,Acre,Maio,21°,29°,151
Mâncio Lima,Acre,Junho,20°,29°,92
Mâncio Lima,Acre,Julho,20°,30°,64
Mâncio Lima,Acre,Agosto,22°,33°,69
Mâncio Lima,Acre,Setembro,23°,33°,119
Mâncio Lima,Acre,Outubro,23°,32°,183
Mâncio Lima,Acre,Novembro,23°,31°,219
Mâncio Lima,Acre,Dezembro,23°,29°,242
Manoel Urbano,Acre,Janeiro,23°,29°,319
Manoel Urbano,Acre,Fevereiro,23°,28°,259
Manoel Urbano,Acre,Março,23°,28°,262
Manoel Urbano,Acre,Abril,22°,28°,213
Manoel Urbano,Acre,Maio,21°,29°,121
Manoel Urbano,Acre,Junho,20°,30°,52
Manoel Urbano,Acre,Julho,20°,31°,35
Manoel Urbano,Acre,Agosto,22°,34°,49
Manoel Urbano,Acre,Setembro,23°,34°,97
Manoel Urbano,Acre,Outubro,23°,32°,169
Manoel Urbano,Acre,Novembro,23°,31°,241
Manoel Urbano,Acre,Dezembro,23°,29°,291
